id;name;calories_number;glycemic_index;protein_number;fat_number;carbohydrate_number
62;Кукурузная мука ;368;70;7.5;1.2;81.1
1100;Ржаная крупа;354;70;9.4;1.8;63
1109;Овсяная мука;369;70;13;6.8;64.9
65;Кукурузная мука из цельного зерна непросеянная ;355;70;7.3;1.1;80.8
757;Шоколад пористый молочный;506;70;7.3;31.6;56
768;Повидло из абрикосов;242;70;0.4;0.8;61
759;Сахар-песок;398;70;0;0;99.7
769;Джем из яблок;265;70;0.4;0.3;68.2
1092;Кукурузная крупа;337;70;8.3;1.2;75
74;Рис белый витаминизированный сырой ;363;70;7.6;1;75.8
928;Свекла отварная;49;70;2;0;11
912;Белый шоколад;554;70;6;34;56
755;Шоколад молочный;550;70;6.9;35.7;54.4
1176;Коричневый сахар;394;70;0;0;99
1180;Сахарный сироп;300;70;0;0;80
1163;Варенье любое;271;70;0.3;0;71
1187;Бельгийский шоколад;539;70;6;31;57
761;Сахарная пудра;374;70;0;0;99.8
1166;Джем;265;70;0.4;0.3;68.2
1410;Равиоли;77;70;2.5;1.4;14
1428;Фасоль консервированная;99;70;6.7;0.3;17.4
900;Блины на раст.масле;235;70;6.2;12.1;26
1113;Гречневая мука;353;70;13.6;1.2;72
1605;Инвертный сироп ;400;70;0;0;70
767;Джем из айвы;223;70;0.7;0.3;60
753;Шоколад горький;539;70;6.2;35.4;48.2
766;Джем грушевый;268;70;0.8;0.4;64
756;Шоколад ореховый;580;70;6.6;41;50
874;Лаваш армянский;236;70;8;1;47.6
1164;Варенье абрикосовое;249;70;0.41;0.05;64.35
754;Шоколад молочно-ореховый;542;70;7.5;34;51.3
911;Пельмени полуфабрикат;255;70;6;11;32
1123;Лепешка;263;69;9;2;52
913;Лепешка пресная;263;69;9;2;52
914;Лепешка ржаная ;375;69;8;18.3;44.2
1369;Мука;325;69;12;1;67
915;Мука пшеничная;325;69;12;1;67
1126;Тортилья;286;69;7;7.7;47.2
931;Сухофрукты;250;67;2;0;66
1065;Смесь сухофруктов;250;67;2;0;66
205;Ананасы ;49;66;0.4;0.2;10.6
9;Хлеб ржаной формовой ;217;65;5.9;1.1;44.5
916;Кускус;112;65;4;0;23
13;Хлеб «докторский» ;232;65;8;3;47
14;Хлеб «орловский» ;211;65;6.4;0.9;43
15;Хлеб «украинский» ;213;65;6.7;1.3;40
16;Батон простой ;248;65;8;1;49
18;Булки городские из муки i сорта ;254;65;7.7;2.4;53.4
19;Булка городская ;261;65;7.7;2.4;52.2
39;Мука из цельной твердой пшеницы витаминизированная ;333;65;7.2;1;80.5
40;Мука из цельной твердой пшеницы универсальная ;364;65;7.7;1.2;81
1091;Маца;156;65;6;8;5
63;Гритс из кукурузы без зародышей сырой витаминизированный ;362;65;51;28.1;242.72
64;Гритс из кукурузы без зародышей сырой не витаминизированный ;362;65;35.6;16.5;180.57
1402;Стеклянная лапша;351;65;0.2;0.1;86
80;Крупа манная ;340;65;10.3;1;73.3
1155;Миндальные лепестки;650;65;22;58;12
1165;Готовый пудинг;135;65;3;5.7;18
1129;Белый хлеб;266;65;7.64;3.3;48.2
906;Картофель в мундире;74;65;2;1;16
1696;Карамель;387;65;0;0;100
715;Печенье вафельное;540;65;7.5;18;73
1401;Гречневая лапша;348;65;14.7;0.9;70.5
1422;Сладкий рис;350;65;7;1;75
1686;Шоколадное печенье;406;65;4.8;16.3;61.6
718;Пряники;336;65;5;3;78
198;Дыня «канталупа» ;19;65;0.8;0.2;8.1
199;Дыня «колхозница» ;28;65;0.5;0.3;7.2
204;Бананы ;89;65;1.5;0.1;21.8
1128;Черный хлеб;217;65;5.9;1.1;44.5
1119;Сдобное тесто;304;64;6.08;12.11;43.24
130;Свекла ;40;64;1.5;0.1;8.8
245;Кишмиш ;279;64;2.3;0;71.2
1115;Савоярди;378;64;8.5;3.8;76.6
1118;Рисовая бумага;333;64;5.8;0;77.4
244;Изюм ;280;64;2.9;0.6;66
717;Печенье курабье;489;64;7;26.8;65.9
714;Песочное печенье;716;64;9;15;62
917;Зерна пшеничные пророщенные;305;63;12;2;59
1107;Коржи;318;63;4.5;6;61.5
713;Печенье кофейное;589;63;6;14;51
875;Коржи песочные;318;63;4.5;6;61.5
191;Сыроежки ;17;62;1.7;0.7;1.5
20;Булочка диетическая ;242;61;10;1;49
21;Булочка диетическая на сорбите ;266;61;12;1;51
81;Крупа овсяная ;374;61;11;6.1;65.4
82;Овсяные хлопья ;305;61;11.9;7.2;69.3
1127;Булочка;242;61;12;1;49
325;Мороженое-суфле ;116;60;5.5;16;21
513;Груши консервированные ;76;60;0.2;0.1;18
1136;Рисовая лапша;109;60;0.9;0.2;24
1102;Фарро;340;60;6.5;0.5;75
1131;Хлебное тесто;225;60;8.4;2.8;40.7
87;Крупа пшеничная ;352;60;11.5;1.3;62
324;Мороженое молочное ;126;60;3.2;3.5;21.3
390;Масло ореховое ;570;60;0.4;99.8;0
322;Мороженое ванильно - шоколадное ;140;60;3.6;3.7;21.2
1423;Нешлифованный рис;285;60;8;3.9;52
1758;Арахисовая паста;588;60;25;50;20
893;Мармелад;322;60;0.1;0;79.6
780;Майонез столовый;627;60;2.4;67;3.9
397;Майонез легкий ;260;60;0.3;30;5.2
396;Майонез салатный 50 % - ной жирности ;502;60;2.8;50;3.7
1770;Макароны гнезда;346;60;11.2;1.1;71.25
925;Макароны отварные;135;60;3;5;19
1417;Рис жасмин;353;60;7.08;0.45;78.08
1421;Круглый рис;330;60;7;1;71.4
252;Груша сушеная;246;60;2.3;0.6;62.6
253;Персики сушеные;254;60;3;0.4;57.7
259;Каштан благородный свежий ;194;60;4;11.9;49.53
260;Каштан благородный сушеный ;377;60;6.82;1.81;79.76
901;Блины на олив.масле;200;60;6.2;7;26
1135;Лапша;135;60;3;5;19
321;Мороженое ванильное ;160;60;4;3.6;24.1
320;Мороженое «эскимо» сливочное  ;183;60;3.5;18;21
319;Мороженое сливочное ;165;60;3.3;8;21
